language,fleurs_config,fleurs_status,fleurs_train_files,fleurs_train_bytes,fleurs_schema_columns,ud_status,ud_treebank,ud_train_files,ud_train_bytes,ud_schema_columns,one_file_at_a_time,post_language_temp_files,error_type,error
Galician,gl_es,ok,parquet-data/gl_es/train-00000-of-00001.parquet,1532551600.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,gl_ctg,parquet/gl_ctg/train.parquet,1138272.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Macedonian,mk_mk,ok,parquet-data/mk_mk/train-00000-of-00001.parquet,1559356545.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Urdu,ur_pk,ok,parquet-data/ur_pk/train-00000-of-00001.parquet,1598115208.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ur_udtb,parquet/ur_udtb/train.parquet,3239175.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Khmer,km_kh,ok,parquet-data/km_kh/train-00000-of-00001.parquet,1599896497.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Estonian,et_ee,ok,parquet-data/et_ee/train-00000-of-00001.parquet,1658797289.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,et_edt,parquet/et_edt/train.parquet,7000450.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Cantonese Chinese,yue_hant_hk,ok,parquet-data/yue_hant_hk/train-00000-of-00001.parquet,1668413359.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Japanese,ja_jp,ok,parquet-data/ja_jp/train-00000-of-00001.parquet,1686320112.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ja_gsd,parquet/ja_gsd/train.parquet,7577655.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Lao,lo_la,ok,parquet-data/lo_la/train-00000-of-00001.parquet,1693652897.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Catalan,ca_es,failed,,,,,,,,,True,,ConnectionError,"HTTPSConnectionPool(host='us.aws.cdn.hf.co', port=443): Read timed out."
Danish,da_dk,failed,,,,,,,,,True,,ConnectionError,"HTTPSConnectionPool(host='us.aws.cdn.hf.co', port=443): Read timed out."
English (US),en_us,ok,parquet-data/en_us/train-00000-of-00001.parquet,1721501976.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,en_gum,parquet/en_gum/train.parquet,6186637.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Asturian,ast_es,ok,parquet-data/ast_es/train-00000-of-00001.parquet,1727205384.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Slovenian,sl_si,ok,parquet-data/sl_si/train-00000-of-00001.parquet,1746405673.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,sl_ssj,parquet/sl_ssj/train.parquet,3738504.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Filipino,fil_ph,ok,parquet-data/fil_ph/train-00000-of-00001.parquet,1757811255.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Dutch,nl_nl,ok,parquet-data/nl_nl/train-00000-of-00001.parquet,1761841308.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,nl_lassysmall,parquet/nl_lassysmall/train.parquet,4245333.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Swedish,sv_se,ok,parquet-data/sv_se/train-00000-of-00001.parquet,1807088666.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,sv_talbanken,parquet/sv_talbanken/train.parquet,1244061.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Telugu,te_in,ok,parquet-data/te_in/train-00000-of-00001.parquet,1807847353.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,te_mtg,parquet/te_mtg/train.parquet,139373.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Korean,ko_kr,ok,parquet-data/ko_kr/train-00000-of-00001.parquet,1814793938.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ko_kaist,parquet/ko_kaist/train.parquet,11589787.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Wolof,wo_sn,failed,,,,,,,,,True,,ChunkedEncodingError,"('Connection broken: IncompleteRead(1653905522 bytes read, 167574405 more expected)', IncompleteRead(1653905522 bytes read, 167574405 more expected))"
Russian,ru_ru,ok,parquet-data/ru_ru/train-00000-of-00001.parquet,1828177825.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ru_taiga,parquet/ru_taiga/train.parquet,29904735.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Spanish (Latin America),es_419,ok,parquet-data/es_419/train-00000-of-00001.parquet,1846159618.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,es_ancora,parquet/es_ancora/train.parquet,9199242.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Luxembourgish,lb_lu,ok,parquet-data/lb_lu/train-00000-of-00001.parquet,1874579331.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Kannada,kn_in,ok,parquet-data/kn_in/train-00000-of-00001.parquet,1884413540.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Turkish,tr_tr,ok,parquet-data/tr_tr/train-00000-of-00001.parquet,1895046561.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,tr_penn,parquet/tr_penn/train.parquet,2708613.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Czech,cs_cz,ok,parquet-data/cs_cz/train-00000-of-00001.parquet,1898243051.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,cs_pdtc,parquet/cs_pdtc/train.parquet,73392108.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Tajik,tg_tj,ok,parquet-data/tg_tj/train-00000-of-00001.parquet,1928542558.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Thai,th_th,ok,parquet-data/th_th/train-00000-of-00001.parquet,1952465225.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,th_tud,parquet/th_tud/train.parquet,717129.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Tamil,ta_in,ok,parquet-data/ta_in/train-00000-of-00001.parquet,1987505182.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ta_ttb,parquet/ta_ttb/train.parquet,263955.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Finnish,fi_fi,ok,parquet-data/fi_fi/train-00000-of-00001.parquet,1988967430.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,fi_tdt,parquet/fi_tdt/train.parquet,3412203.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Pashto,ps_af,failed,,,,,,,,,True,,ConnectionError,"HTTPSConnectionPool(host='us.aws.cdn.hf.co', port=443): Read timed out."
Italian,it_it,ok,parquet-data/it_it/train-00000-of-00001.parquet,2036028388.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,it_isdt,parquet/it_isdt/train.parquet,4368800.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
German,de_de,failed,,,,,,,,,True,,ChunkedEncodingError,"('Connection broken: IncompleteRead(2040644725 bytes read, 1948975 more expected)', IncompleteRead(2040644725 bytes read, 1948975 more expected))"
Ukrainian,uk_ua,failed,,,,,,,,,True,,ConnectionError,"HTTPSConnectionPool(host='us.aws.cdn.hf.co', port=443): Read timed out."
Gujarati,gu_in,ok,parquet-data/gu_in/train-00000-of-00001.parquet,2067372281.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Vietnamese,vi_vn,ok,parquet-data/vi_vn/train-00000-of-00001.parquet,2073226755.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,vi_vtb,parquet/vi_vtb/train.parquet,381898.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Polish,pl_pl,ok,parquet-data/pl_pl/train-00000-of-00001.parquet,2084221264.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,pl_pdb,parquet/pl_pdb/train.parquet,6110709.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Indonesian,id_id,ok,parquet-data/id_id/train-00000-of-00001.parquet,2088548256.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,id_gsd,parquet/id_gsd/train.parquet,2302664.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Kyrgyz,ky_kg,ok,parquet-data/ky_kg/train-00000-of-00001.parquet,2116042903.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ky_ktmu,parquet/ky_ktmu/train.parquet,265640.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Azerbaijani,az_az,ok,parquet-data/az_az/train-00000-of-00001.parquet,2121760410.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Hungarian,hu_hu,ok,parquet-data/hu_hu/train-00000-of-00001.parquet,2127391735.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,hu_szeged,parquet/hu_szeged/train.parquet,382441.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Bulgarian,bg_bg,ok,parquet-data/bg_bg/train-00000-of-00001.parquet,2157177319.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,bg_btb,parquet/bg_btb/train.parquet,2471710.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Belarusian,be_by,ok,parquet-data/be_by/train-00000-of-00001.parquet,2158464121.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,be_hse,parquet/be_hse/train.parquet,6215172.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Mongolian,mn_mn,ok,parquet-data/mn_mn/train-00000-of-00001.parquet,2180198517.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Hebrew,he_il,ok,parquet-data/he_il/train-00000-of-00001.parquet,2180995846.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,he_htb,parquet/he_htb/train.parquet,2001720.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Malay,ms_my,ok,parquet-data/ms_my/train-00000-of-00001.parquet,2184748526.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Lithuanian,lt_lt,ok,parquet-data/lt_lt/train-00000-of-00001.parquet,2185979466.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,lt_alksnis,parquet/lt_alksnis/train.parquet,987175.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Mandarin Chinese,cmn_hans_cn,ok,parquet-data/cmn_hans_cn/train-00000-of-00001.parquet,2214262858.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Luo,luo_ke,ok,parquet-data/luo_ke/train-00000-of-00001.parquet,2242079153.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Bosnian,bs_ba,ok,parquet-data/bs_ba/train-00000-of-00001.parquet,2254246569.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Maltese,mt_mt,ok,parquet-data/mt_mt/train-00000-of-00001.parquet,2260846378.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,mt_mudt,parquet/mt_mudt/train.parquet,269736.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Shona,sn_zw,ok,parquet-data/sn_zw/train-00000-of-00001.parquet,2263401870.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Uzbek,uz_uz,ok,parquet-data/uz_uz/train-00000-of-00001.parquet,2267402337.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,uz_uzudt,parquet/uz_uzudt/train.parquet,109446.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Greek,el_gr,ok,parquet-data/el_gr/train-00000-of-00001.parquet,2290566908.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,el_gdt,parquet/el_gdt/train.parquet,736393.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Malayalam,ml_in,ok,parquet-data/ml_in/train-00000-of-00001.parquet,2301509753.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Yoruba,yo_ng,ok,parquet-data/yo_ng/train-00000-of-00001.parquet,2311836895.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
French,fr_fr,ok,parquet-data/fr_fr/train-00000-of-00001.parquet,2315335738.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,fr_gsd,parquet/fr_gsd/train.parquet,5203939.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Romanian,ro_ro,failed,,,,,,,,,True,,ConnectionError,"HTTPSConnectionPool(host='us.aws.cdn.hf.co', port=443): Read timed out."
Portuguese (Brazil),pt_br,ok,parquet-data/pt_br/train-00000-of-00001.parquet,2317882060.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,pt_dantestocks,parquet/pt_dantestocks/train.parquet,3968321.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Armenian,hy_am,ok,parquet-data/hy_am/train-00000-of-00001.parquet,2320414167.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,hy_armtdp,parquet/hy_armtdp/train.parquet,2424318.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Central Kurdish,ckb_iq,ok,parquet-data/ckb_iq/train-00000-of-00001.parquet,2328973092.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ckb_mukri,parquet/ckb_mukri/train.parquet,22336.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Kabuverdianu,kea_cv,ok,parquet-data/kea_cv/train-00000-of-00001.parquet,2407676125.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Serbian,sr_rs,ok,parquet-data/sr_rs/train-00000-of-00001.parquet,2447353229.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,sr_set,parquet/sr_set/train.parquet,1221567.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Assamese,as_in,ok,parquet-data/as_in/train-00000-of-00001.parquet,2457359867.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,as_aiw,parquet/as_aiw/train.parquet,35156.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Bengali,bn_in,ok,parquet-data/bn_in/train-00000-of-00001.parquet,2466895457.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Nyanja,ny_mw,ok,parquet-data/ny_mw/train-00000-of-00001.parquet,2490915311.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Norwegian Bokmål,nb_no,ok,parquet-data/nb_no/train-00000-of-00001.parquet,2495917644.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Amharic,am_et,ok,parquet-data/am_et/train-00000-of-00001.parquet,2535233048.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Nepali,ne_np,ok,parquet-data/ne_np/train-00000-of-00001.parquet,2566353789.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Javanese,jv_id,ok,parquet-data/jv_id/train-00000-of-00001.parquet,2577764254.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Umbundu,umb_ao,ok,parquet-data/umb_ao/train-00000-of-00001.parquet,2589643044.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Croatian,hr_hr,ok,parquet-data/hr_hr/train-00000-of-00001.parquet,2630134722.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,hr_set,parquet/hr_set/train.parquet,2519965.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Kazakh,kk_kz,ok,parquet-data/kk_kz/train-00000-of-00001.parquet,2661403409.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,kk_ktb,parquet/kk_ktb/train.parquet,26821.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Burmese,my_mm,ok,parquet-data/my_mm/train-00000-of-00001.parquet,2727556861.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Marathi,mr_in,ok,parquet-data/mr_in/train-00000-of-00001.parquet,2732278764.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,mr_cmupan,parquet/mr_cmupan/train.parquet,2748077.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Persian,fa_ir,ok,parquet-data/fa_ir/train-00000-of-00001.parquet,2739771475.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,fa_perdt,parquet/fa_perdt/train.parquet,10209681.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Welsh,cy_gb,ok,parquet-data/cy_gb/train-00000-of-00001.parquet,2741092458.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,cy_ccg,parquet/cy_ccg/train.parquet,491007.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Irish,ga_ie,ok,parquet-data/ga_ie/train-00000-of-00001.parquet,2758458362.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,ga_idt,parquet/ga_idt/train.parquet,1388674.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Cebuano,ceb_ph,ok,parquet-data/ceb_ph/train-00000-of-00001.parquet,2776778336.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Sindhi,sd_in,ok,parquet-data/sd_in/train-00000-of-00001.parquet,2829426192.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,loaded,sd_isra,parquet/sd_isra/train.parquet,1046863.0,comments;deprel;deps;empty_nodes;feats;head;lemmas;misc;mwt;sent_id;text;tokens;upos;xpos,True,0.0,,
Ganda,lg_ug,ok,parquet-data/lg_ug/train-00000-of-00001.parquet,2858237061.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Northern Sotho,nso_za,ok,parquet-data/nso_za/train-00000-of-00001.parquet,2993048374.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Somali,so_so,ok,parquet-data/so_so/train-00000-of-00001.parquet,2995078067.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Xhosa,xh_za,ok,parquet-data/xh_za/train-00000-of-00001.parquet,3021633540.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
Swahili,sw_ke,ok,parquet-data/sw_ke/train-00000-of-00001.parquet,3093209341.0,audio;gender;id;lang_group_id;lang_id;language;num_samples;path;raw_transcription;transcription,no_matching_treebank,,,0.0,,True,0.0,,
